status,bed,bath,acre_lot,city,state,zip_code,house_size,prev_sold_date,price
for_sale,3.0,2.0,1.75,Cabo Rojo,Puerto Rico,623.0,1620.0,unregistered,330000.0
for_sale,3.0,2.0,0.09,Mayaguez,Puerto Rico,680.0,1760.0,unregistered,115000.0
for_sale,2.0,1.0,4.74,Cabo Rojo,Puerto Rico,623.0,1000.0,unregistered,285000.0
for_sale,3.0,2.0,0.14,Mayaguez,Puerto Rico,680.0,1200.0,unregistered,140000.0
for_sale,3.0,1.0,0.04,Mayaguez,Puerto Rico,682.0,2330.908640102678,unregistered,87000.0
for_sale,4.0,2.0,0.08,Cabo Rojo,Puerto Rico,623.0,3052.0,unregistered,250000.0
for_sale,3.0,1.0,0.08,San German,Puerto Rico,683.0,894.0,unregistered,70000.0
for_sale,3.0,1.0,0.07,San German,Puerto Rico,683.0,363.0,unregistered,150000.0
for_sale,3.0,1.0,0.19,Mayaguez,Puerto Rico,682.0,778.0,unregistered,90000.0
for_sale,3.0,2.0,0.25,Cabo Rojo,Puerto Rico,623.0,2800.0,unregistered,395000.0
for_sale,3.0,2.0,0.2,Cabo Rojo,Puerto Rico,623.0,2330.908640102678,unregistered,45000.0
for_sale,3.0,2.0,0.26,Cabo Rojo,Puerto Rico,623.0,2330.908640102678,unregistered,65000.0
for_sale,3.0,2.0,0.49,Cabo Rojo,Puerto Rico,623.0,2330.908640102678,unregistered,80000.0
for_sale,3.0,2.0,2.82,Cabo Rojo,Puerto Rico,623.0,2330.908640102678,unregistered,120000.0
for_sale,3.0,2.0,0.28,Cabo Rojo,Puerto Rico,623.0,2330.908640102678,unregistered,70000.0
for_sale,3.0,2.0,14.34,Cabo Rojo,Puerto Rico,623.0,2330.908640102678,unregistered,160000.0
for_sale,3.0,2.0,16.22,Cabo Rojo,Puerto Rico,623.0,2330.908640102678,unregistered,290000.0
for_sale,3.0,2.0,0.44,Mayaguez,Puerto Rico,680.0,2330.908640102678,unregistered,159000.0
for_sale,3.0,2.0,0.25,Anasco,Puerto Rico,610.0,2330.908640102678,unregistered,79000.0
for_sale,3.0,2.0,0.15,Anasco,Puerto Rico,610.0,1687.0,unregistered,149900.0
for_sale,2.0,1.0,0.13,Anasco,Puerto Rico,610.0,826.0,unregistered,106000.0
for_sale,5.0,3.0,0.11,Anasco,Puerto Rico,610.0,2327.0,unregistered,165000.0
for_sale,3.0,2.0,0.37,Anasco,Puerto Rico,610.0,2330.908640102678,unregistered,140000.0
for_sale,4.0,3.0,0.21,Isabela,Puerto Rico,662.0,3066.0,unregistered,485000.0
for_sale,4.0,2.0,0.49,Rincon,Puerto Rico,677.0,2450.0,unregistered,950000.0
for_sale,4.0,3.0,0.24,Arecibo,Puerto Rico,612.0,3413.0,unregistered,200000.0
for_sale,4.0,2.0,0.1,Arecibo,Puerto Rico,612.0,2330.908640102678,unregistered,84900.0
for_sale,5.0,2.0,0.49,Arecibo,Puerto Rico,612.0,2058.0,unregistered,148000.0
for_sale,3.0,2.0,0.27,Arecibo,Puerto Rico,612.0,1100.0,unregistered,75000.0
for_sale,4.0,2.0,0.13,Arecibo,Puerto Rico,612.0,1000.0,unregistered,110000.0
for_sale,4.0,2.0,0.09,Arecibo,Puerto Rico,612.0,2330.908640102678,unregistered,69900.0
for_sale,3.0,1.0,0.09,Arecibo,Puerto Rico,612.0,1044.0,unregistered,65000.0
for_sale,5.0,3.0,0.08,Arecibo,Puerto Rico,612.0,2200.0,unregistered,179000.0
for_sale,3.0,2.0,0.86,Arecibo,Puerto Rico,612.0,3500.0,unregistered,145000.0
for_sale,3.0,1.0,0.13,Arecibo,Puerto Rico,612.0,1262.0,unregistered,79000.0
for_sale,3.0,2.0,0.03,Arecibo,Puerto Rico,612.0,2330.908640102678,unregistered,50000.0
for_sale,3.0,2.0,0.25,Arecibo,Puerto Rico,612.0,1856.0,unregistered,134900.0
for_sale,3.0,1.0,0.08,Arecibo,Puerto Rico,612.0,1009.0,unregistered,94600.0
for_sale,3.0,2.0,0.34,Arecibo,Puerto Rico,612.0,2330.908640102678,unregistered,59900.0
for_sale,3.0,3.0,0.19,Arecibo,Puerto Rico,612.0,2872.0,unregistered,279000.0
for_sale,3.0,1.0,4.89,Arecibo,Puerto Rico,612.0,1028.0,unregistered,100000.0
for_sale,3.0,2.0,1.48,Arecibo,Puerto Rico,612.0,2330.908640102678,unregistered,89000.0
